trace,pos_x,pos_y,vel_x,vel_y,action,result
183,-0.19,0.28,0.27,-0.39,2,False
183,-0.19,0.27,0.26,-0.41,1,False
183,-0.18,0.26,0.28,-0.4,2,False
183,-0.18,0.25,0.27,-0.42,1,False
183,-0.18,0.24,0.3,-0.42,2,False
183,-0.17,0.23,0.34,-0.39,2,False
183,-0.17,0.22,0.33,-0.42,1,False
183,-0.17,0.22,0.35,-0.4,2,False
183,-0.16,0.21,0.37,-0.4,2,False
183,-0.16,0.2,0.36,-0.42,1,False
183,-0.16,0.19,0.39,-0.38,2,False
183,-0.15,0.18,0.37,-0.41,1,False
183,-0.15,0.17,0.38,-0.39,2,False
183,-0.14,0.16,0.4,-0.37,2,False
183,-0.14,0.15,0.39,-0.39,1,False
183,-0.14,0.14,0.41,-0.39,2,False
183,-0.13,0.14,0.43,-0.37,2,False
183,-0.13,0.13,0.47,-0.35,2,False
183,-0.12,0.12,0.49,-0.33,2,False
183,-0.12,0.11,0.49,-0.36,1,False
183,-0.11,0.1,0.51,-0.33,2,False
183,-0.11,0.1,0.53,-0.3,2,False
183,-0.1,0.09,0.52,-0.33,1,False
183,-0.1,0.08,0.54,-0.33,2,False
183,-0.09,0.08,0.54,-0.31,2,False
183,-0.08,0.07,0.56,-0.27,2,False
183,-0.08,0.06,0.55,-0.29,1,False
183,-0.07,0.06,0.58,-0.3,2,False
183,-0.07,0.05,0.57,-0.29,2,False
183,-0.06,0.04,0.6,-0.26,2,False
183,-0.05,0.04,0.61,-0.23,2,False
183,-0.05,0.03,0.63,-0.21,2,False
183,-0.04,0.03,0.64,-0.19,2,False
183,-0.03,0.03,0.65,-0.19,2,False
183,-0.03,0.02,0.66,-0.19,2,False
183,-0.02,0.02,0.68,-0.18,2,False
183,-0.01,0.01,0.71,-0.15,2,False
183,-0.01,0.01,0.7,-0.15,2,False
183,0.0,0.01,0.71,-0.11,2,False
183,0.01,0.01,0.73,-0.11,2,False
183,0.02,0.0,0.73,-0.08,2,False
183,0.02,0.0,0.73,-0.07,2,False
183,0.03,0.0,0.72,-0.08,1,False
183,0.04,-0.0,0.71,-0.08,1,False
183,0.04,-0.0,0.7,-0.08,1,False
183,0.05,-0.01,0.68,-0.09,1,False
183,0.06,-0.01,0.67,-0.08,0,False
183,0.06,-0.01,0.65,-0.07,1,False
183,0.07,-0.01,0.63,-0.05,1,False
183,0.08,-0.01,0.61,-0.02,1,False
183,0.08,-0.01,0.59,-0.0,1,False
183,0.09,-0.01,0.57,0.02,1,False
183,0.09,-0.01,0.55,0.04,1,False
183,0.1,-0.01,0.53,0.06,1,False
183,0.1,-0.01,0.52,0.06,1,False
183,0.11,-0.0,0.5,0.05,1,False
183,0.11,-0.0,0.49,0.04,1,False
183,0.12,-0.0,0.48,0.02,1,False
183,0.12,-0.0,0.47,-0.0,1,False
183,0.13,-0.0,0.46,-0.02,1,False
183,0.13,-0.0,0.44,-0.03,1,False
183,0.14,-0.01,0.43,-0.03,1,False
183,0.14,-0.01,0.42,-0.02,1,False
183,0.15,-0.01,0.4,-0.01,1,False
183,0.15,-0.01,0.39,-0.0,1,False
183,0.15,-0.01,0.37,0.01,1,False
183,0.16,-0.01,0.36,0.01,1,False
183,0.16,-0.01,0.35,0.01,1,False
183,0.16,-0.01,0.34,-0.01,1,False
183,0.17,-0.01,0.33,-0.02,1,False
183,0.17,-0.01,0.32,-0.02,1,False
183,0.17,-0.01,0.3,-0.01,1,False
183,0.18,-0.01,0.29,-0.01,1,False
183,0.18,-0.01,0.28,-0.01,1,False
183,0.18,-0.01,0.26,-0.01,1,False
183,0.18,-0.01,0.25,-0.01,1,False
183,0.19,-0.01,0.24,-0.01,1,False
183,0.19,-0.01,0.23,-0.01,1,False
183,0.19,-0.01,0.22,-0.01,1,False
183,0.19,-0.01,0.2,-0.01,1,False
183,0.19,-0.01,0.19,-0.01,1,False
183,0.2,-0.01,0.18,-0.01,1,False
183,0.2,-0.01,0.16,-0.01,1,False
183,0.2,-0.01,0.15,-0.01,1,False
183,0.2,-0.01,0.14,-0.01,1,False
183,0.2,-0.01,0.13,-0.01,1,False
183,0.2,-0.01,0.11,-0.01,1,False
183,0.2,-0.01,0.1,-0.01,1,False
183,0.2,-0.01,0.09,-0.0,1,False
183,0.21,-0.01,0.08,-0.0,1,False
183,0.21,-0.01,0.07,-0.0,1,False
183,0.21,-0.01,0.05,-0.0,1,False
183,0.21,-0.01,0.04,-0.0,1,False
183,0.21,-0.01,0.03,-0.0,1,False
183,0.21,-0.01,0.02,-0.0,1,False
183,0.21,-0.01,0.0,-0.0,1,False
183,0.21,-0.01,-0.0,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.0,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
